ticker,datum_unosa,kvartal_provere,predvidjanje,merljiv_prag,uverenost,ishod,realizovana_vrednost,napomena
MANH,2026-08-13,Q3 2026,Cloud subscriptions rast ostaje >=15% god/god,>=15% (trenutno 21%),70%,,,
MANH,2026-08-13,Q3 2026,Operativna marza ostaje u opsegu,>=24% (+-1pp; trenutno 25.9%),70%,,,
MANH,2026-08-13,Q3 2026,FCF marza nakon SBC ostaje,>=20% (trenutno 24.3%),70%,,,
MANH,2026-08-13,Q3 2026,SBC/Prihod ne prelazi prag,<=12% (trenutno 10.3%),70%,,,
MANH,2026-08-13,Q3 2026,Ukupan prihod raste,>=5% god/god (trenutno 3.7%),70%,,,
CPRT,2026-08-14,Q1 FY2027 (do 31.10.2026),Operativna marza ostaje u opsegu,>=35% (trenutno 36.5%),70%,,,
CPRT,2026-08-14,Q1 FY2027 (do 31.10.2026),FCF konverzija ostaje,>=0.70 (trenutno tacno 0.70),70%,,,
CPRT,2026-08-14,Q1 FY2027 (do 31.10.2026),ROIC medijana ostaje,>=20% (trenutno 23.5%),70%,,,
CPRT,2026-08-14,Q1 FY2027 (do 31.10.2026),Prihod raste,>=10% god/god (trenutno CAGR 14.6%),70%,,,
CPRT,2026-08-14,Q1 FY2027 (do 31.10.2026),Broj akcija ne raste vise od praga,<=1% god/god (trenutno CAGR +0.4%),70%,,,
MEDP,2026-08-14,Q1 2027,Backlog raste,>=3% god/god (trenutno +4.3%),70%,,,
MEDP,2026-08-14,Q1 2027,Operativna marza ostaje u opsegu,>=18% (trenutno 21.1%),70%,,,
MEDP,2026-08-14,Q1 2027,FCF konverzija ostaje,>=1.0 (trenutno prosek 1.41),70%,,,
MEDP,2026-08-14,Q1 2027,Prihod raste,>=15% god/god (trenutno CAGR 22.0%),70%,,,
MEDP,2026-08-14,Q1 2027,Top 10 koncentracija ne prelazi prag,<=40% (trenutno 35.1%),70%,,,
